date,precio,vol_30d,cum_ret_30d,dist_sma50,drawdown,cluster_km,estado_hmm,estado_hmm_causal
2018-08-24,282.9670104980469,4.229237575668231,-48.19384628376934,-29.322497082188892,-72.70739495588566,0,1,1
2018-08-25,279.64599609375,4.229812853624449,-47.577825203874276,-29.467159886274352,-73.02771192259763,0,1,1
2018-08-26,275.1969909667969,4.196681205830796,-50.381816414714564,-29.823009801186963,-73.4568253360498,0,1,1
2018-08-27,285.6029968261719,4.310156491315727,-46.011173287962265,-26.40553251940033,-72.45315000475665,0,1,1
2018-08-28,296.4989929199219,4.412583785890853,-42.14618443897989,-22.881724991323658,-71.40221435884683,0,1,1
2018-08-29,289.31201171875,4.414978075251208,-42.51640759481116,-24.1786857401058,-72.0954097919039,0,1,1
2018-08-30,284.1050109863281,4.361469450314087,-39.237447417464494,-24.904026407883784,-72.59763305179655,0,1,1
2018-08-31,283.0039978027344,4.3522512015204375,-36.60101780271451,-24.60889708140812,-72.70382747324271,0,1,1
2018-09-01,295.34100341796875,4.46683036606882,-30.31038490062872,-20.736686765211022,-71.51390423416626,0,1,1
2018-09-02,294.3710021972656,4.4463914050653175,-32.00593121616702,-20.391459201319094,-71.60746234951816,0,1,1
2018-09-03,289.2590026855469,4.43851729984726,-31.11019869582327,-21.08850940082797,-72.10052259499865,0,1,1
2018-09-04,285.7229919433594,4.42497033349277,-33.13409996979379,-21.215208009821307,-72.44157629043971,0,1,1
2018-09-05,232.3309936523437,5.4659996154626755,-50.880936673865854,-34.97396703575216,-77.59131695917671,0,1,1
2018-09-06,230.21499633789065,5.391274905126551,-45.28919097721018,-34.65059657504721,-77.79540816710984,0,1,1
2018-09-07,217.2030029296875,5.375516003034965,-44.733758182618814,-37.447822892172724,-79.05043502095278,0,1,1
2018-09-08,197.9510040283203,5.483399156155463,-56.11409069684598,-42.150033667219134,-80.90732003875016,0,1,1
2018-09-09,196.9239959716797,5.3383295509386866,-48.04071970294145,-41.54298475612509,-81.00637655144286,0,1,1
2018-09-10,197.07899475097656,5.332946486836051,-44.35193735177755,-40.57050966038444,-80.99142667987223,0,1,1
2018-09-11,185.0659942626953,5.396913136553318,-49.65829882973405,-43.283907465940864,-82.15009912421245,0,1,1
2018-09-12,183.3309936523437,5.141581706011627,-40.245953878792506,-42.77730272041258,-82.31744261180232,0,1,1
2018-09-13,211.35400390625,5.961662502800663,-22.32064788588386,-32.93730336684707,-79.61458000721503,0,1,1
2018-09-14,211.74899291992188,5.952782842964915,-23.364172678115196,-31.718776275834482,-79.57648270701054,0,1,1
2018-09-15,223.07400512695312,6.0372795082217,-20.028141101903188,-26.904413001933825,-78.48416779460342,0,1,1
2018-09-16,220.5890045166016,5.716693511365242,-30.752744377838994,-26.53278904629619,-78.72384994014165,0,1,1
2018-09-17,197.875,5.887633770010172,-34.741468372735454,-32.89625973320934,-80.91465074462664,0,1,1
2018-09-18,209.9750061035156,6.0153649982636015,-30.32419461137811,-27.579122956451496,-79.7475864743664,0,1,1
2018-09-19,209.968994140625,5.8335334440986815,-21.511893568705545,-26.445172278836303,-79.74816633746926,0,1,1
2018-09-20,224.59100341796875,5.96845126551817,-17.329112293875674,-20.226553354782027,-78.33785096729407,0,2,1
2018-09-21,246.58399963378903,6.226567882539267,-3.775972181952083,-11.369360767301274,-76.2165925266066,0,2,1
2018-09-22,240.47999572753903,6.225886337243269,-8.375293881347682,-12.4443702813813,-76.80533312752608,0,2,1
2018-09-23,244.3300018310547,6.219763503947616,-8.890141040510915,-9.97461205293635,-76.43399409469771,0,2,1
2018-09-24,228.72999572753903,6.31711660573882,-14.101310788195269,-14.578242884257264,-77.93863876871693,0,2,1
2018-09-25,218.5050048828125,6.356485792594754,-16.98070124359399,-17.233718002191832,-78.92485492237252,0,2,1
2018-09-26,215.8470001220703,6.303895203258772,-21.9784450051352,-17.209622416997096,-79.18122358532241,0,2,1
2018-09-27,228.49400329589844,6.365492905489316,-19.934285299066403,-11.488819480609358,-77.96140060310472,0,2,1
2018-09-28,222.4019927978516,6.367954607406597,-20.17649508450437,-12.882259086625137,-78.54898442128602,0,2,1
2018-09-29,231.634994506836,6.424078246982607,-14.225215476887492,-8.530770456766923,-77.65844715133568,0,2,1
2018-09-30,232.84800720214844,6.426655633561237,-13.31400387702934,-7.398950289868155,-77.54145020406472,0,2,1
2018-10-01,230.7680053710937,6.362518870787465,-18.56659560336113,-7.573323736031701,-77.74206959204953,0,2,1
2018-10-02,227.1809997558593,6.364525682669892,-19.79253863562544,-8.575601857440397,-78.08804182172855,0,2,1
2018-10-03,220.488998413086,6.375398707166513,-21.00162417419092,-10.849311746909308,-78.73349568322826,0,2,1
2018-10-04,222.218002319336,6.3802533908668195,-18.995018716909502,-9.711074525877194,-78.56673058700748,0,2,1
2018-10-05,227.6009979248047,5.410963571593925,2.114005292326309,-7.067449750769472,-78.0475323498855,0,2,1
2018-10-06,225.1199951171875,5.412183638646435,1.934706957026982,-7.395259332477588,-78.28682890117766,0,2,1
2018-10-07,226.11900329589844,5.303499022550693,8.030578964773621,-6.447906253671332,-78.19047301994117,0,2,1
2018-10-08,229.2550048828125,5.0174035501558505,18.28105702873944,-4.58532135294284,-77.88800082511281,2,2,1
2018-10-09,227.98199462890625,5.0176906706946,18.244595014585478,-4.7477811782789425,-78.01078462954224,2,2,1
2018-10-10,225.7689971923828,5.025161162684333,17.195195497306866,-5.227517819142236,-78.22423164901056,2,2,1
2018-10-11,189.49899291992188,5.7576409513279145,7.225625878100988,-19.90245159121994,-81.72252955947829,0,2,1
2018-10-12,196.7270050048828,5.78937972458894,11.977404283143905,-16.278443235465502,-81.02537663433091,0,2,1
2018-10-13,199.84100341796875,5.070309894806676,-1.725165728037232,-14.347199079416463,-80.72502667958967,0,2,1
2018-10-14,195.71499633789065,5.083214882128915,-3.976695664979075,-15.507733413936197,-81.122986432734,0,2,1
2018-10-15,209.70399475097656,5.160147149205051,-2.177377471684766,-8.953683248082722,-79.77372593774166,0,2,1
2018-10-16,210.1199951171875,5.156575748876482,-0.8650220776856239,-8.171184676651045,-79.73360206014469,0,2,1
2018-10-17,207.0829925537109,4.788916730607501,7.986591588962782,-8.78556041113745,-80.02652564631482,2,2,1
2018-10-18,203.3520050048828,4.672211197012783,0.06992983837749689,-9.7454970324781,-80.38638515578714,0,2,1
2018-10-19,203.7270050048828,4.672329121285703,0.2572023142119404,-8.929279222954744,-80.35021582681297,0,2,1
2018-10-20,205.42999267578125,4.488089444608901,-5.870770933146336,-7.526657219733357,-80.18596003665913,0,0,1
2018-10-21,205.1419982910156,4.073025884842992,-15.803427306676038,-6.90027731394991,-80.21373753971326,0,0,1
